epoch,step,test/accuracy,test/f1_score,test/loss,train/accuracy,train/f1_score,train/loss_epoch,train/loss_step,val/accuracy,val/f1_score,val/loss,val_f1_score
0,9,,,,,,,4.1196608543396,,,,
0,19,,,,,,,3.9928650856018066,,,,
0,29,,,,,,,3.991968870162964,,,,
0,39,,,,,,,3.927459716796875,,,,
0,49,,,,,,,3.8287065029144287,,,,
0,59,,,,,,,3.6721341609954834,,,,
0,69,,,,,,,3.4868407249450684,,,,
0,79,,,,,,,3.3056626319885254,,,,
0,83,,,,,,,,0.42210960388183594,0.3701503574848175,3.056562662124634,0.3701503574848175
0,83,,,,0.1534816026687622,0.1310863345861435,3.809873104095459,,,,,
1,89,,,,,,,3.1344146728515625,,,,
1,99,,,,,,,2.56712007522583,,,,
1,109,,,,,,,2.480412006378174,,,,
1,119,,,,,,,2.1635422706604004,,,,
1,129,,,,,,,2.1528873443603516,,,,
1,139,,,,,,,1.7796353101730347,,,,
1,149,,,,,,,1.7698270082473755,,,,
1,159,,,,,,,1.6222045421600342,,,,
1,167,,,,,,,,0.8821321129798889,0.89713054895401,1.421472191810608,0.89713054895401
1,167,,,,0.6321321129798889,0.6116113662719727,2.1840996742248535,,,,,
2,169,,,,,,,1.3091704845428467,,,,
2,179,,,,,,,1.4037079811096191,,,,
2,189,,,,,,,1.2695775032043457,,,,
2,199,,,,,,,1.3520534038543701,,,,
2,209,,,,,,,1.1879527568817139,,,,
2,219,,,,,,,1.249956727027893,,,,
2,229,,,,,,,1.258117914199829,,,,
2,239,,,,,,,1.2382524013519287,,,,
2,249,,,,,,,1.2311222553253174,,,,
2,251,,,,,,,,0.9767267107963562,0.9849251508712769,1.1412937641143799,0.9849251508712769
2,251,,,,0.918027400970459,0.9324964880943298,1.2758549451828003,,,,,
3,259,,,,,,,1.0726008415222168,,,,
3,269,,,,,,,1.1769804954528809,,,,
3,279,,,,,,,1.101532220840454,,,,
3,289,,,,,,,1.193275809288025,,,,
3,299,,,,,,,1.0373598337173462,,,,
3,309,,,,,,,1.0696552991867065,,,,
3,319,,,,,,,1.1087759733200073,,,,
3,329,,,,,,,1.092605471611023,,,,
3,335,,,,,,,,0.9934309124946594,0.9943906664848328,1.093493938446045,0.9943906664848328
3,335,,,,0.9776182174682617,0.9834475517272949,1.12601900100708,,,,,
4,339,,,,,,,1.265687108039856,,,,
4,349,,,,,,,1.0828300714492798,,,,
4,359,,,,,,,1.1841806173324585,,,,
4,369,,,,,,,1.1014397144317627,,,,
4,379,,,,,,,1.0303043127059937,,,,
4,389,,,,,,,1.0133758783340454,,,,
4,399,,,,,,,1.1124151945114136,,,,
4,409,,,,,,,1.0199648141860962,,,,
4,419,,,,,,,1.2294892072677612,,,,
4,419,,,,,,,,0.9962462186813354,0.9965904355049133,1.0815391540527344,0.9965904355049133
4,419,,,,0.9903340935707092,0.9928692579269409,1.0913854837417603,,,,,
5,429,,,,,,,1.150477647781372,,,,
5,439,,,,,,,1.0959384441375732,,,,
5,449,,,,,,,1.1053388118743896,,,,
5,459,,,,,,,1.0085209608078003,,,,
5,469,,,,,,,1.157334804534912,,,,
5,479,,,,,,,1.0746159553527832,,,,
5,489,,,,,,,1.1109411716461182,,,,
5,499,,,,,,,1.0703365802764893,,,,
5,503,,,,,,,,0.9954954981803894,0.9968881607055664,1.0765811204910278,0.9968881607055664
5,503,,,,0.9922109842300415,0.9925228357315063,1.0892221927642822,,,,,
6,509,,,,,,,1.051595687866211,,,,
6,519,,,,,,,1.04720139503479,,,,
6,529,,,,,,,1.1466008424758911,,,,
6,539,,,,,,,1.0409388542175293,,,,
6,549,,,,,,,1.129169225692749,,,,
6,559,,,,,,,1.0022441148757935,,,,
6,569,,,,,,,1.157127857208252,,,,
6,579,,,,,,,1.149652361869812,,,,
6,587,,,,,,,,0.9964339137077332,0.996389627456665,1.0721124410629272,0.996389627456665
6,587,,,,0.9947916865348816,0.9959053993225098,1.0750857591629028,,,,,
7,589,,,,,,,1.06574547290802,,,,
7,599,,,,,,,1.1530054807662964,,,,
7,609,,,,,,,1.081695318222046,,,,
7,619,,,,,,,1.1462106704711914,,,,
7,629,,,,,,,1.084025263786316,,,,
7,639,,,,,,,1.18633234500885,,,,
7,649,,,,,,,1.1539978981018066,,,,
7,659,,,,,,,1.1457805633544922,,,,
7,669,,,,,,,1.0671371221542358,,,,
