epoch,step,train/loss_box_reg,train/loss_classifier,train/loss_epoch,train/loss_objectness,train/loss_rpn_box_reg,train/loss_step,val/mAP,val/mAP_50,val_mAP_50
0,4,,,,,,1.052001714706421,,,
0,9,,,,,,0.9431700706481934,,,
0,14,,,,,,0.6585376858711243,,,
0,19,,,,,,0.3285016417503357,,,
0,24,,,,,,0.4913024306297302,,,
0,29,,,,,,0.6033614873886108,,,
0,34,,,,,,0.5560299754142761,,,
0,39,,,,,,0.6207246780395508,,,
0,44,,,,,,0.364705890417099,,,
0,49,,,,,,0.39454132318496704,,,
0,54,,,,,,0.2754684090614319,,,
0,59,,,,,,0.4002465605735779,,,
0,64,,,,,,0.44708147644996643,,,
0,69,,,,,,0.6290478706359863,,,
0,74,,,,,,0.36884504556655884,,,
0,79,,,,,,0.4566096365451813,,,
0,84,,,,,,0.6075003147125244,,,
0,89,,,,,,0.40961381793022156,,,
0,94,,,,,,0.3681928813457489,,,
0,95,,,,,,,0.00690133310854435,0.016349686309695244,0.016349686309695244
0,95,0.11661233007907867,0.39095786213874817,0.6429797410964966,0.12114812433719635,0.014261498115956783,,,,
1,99,,,,,,0.3477790653705597,,,
1,104,,,,,,0.2804883122444153,,,
1,109,,,,,,0.4850531816482544,,,
1,114,,,,,,0.5831795930862427,,,
1,119,,,,,,0.3341134190559387,,,
1,124,,,,,,0.2579444348812103,,,
1,129,,,,,,0.4295293688774109,,,
1,134,,,,,,0.32630664110183716,,,
1,139,,,,,,0.29576340317726135,,,
1,144,,,,,,0.33623144030570984,,,
1,149,,,,,,0.5742896795272827,,,
1,154,,,,,,0.4082653522491455,,,
1,159,,,,,,0.5694779753684998,,,
1,164,,,,,,0.2724469006061554,,,
1,169,,,,,,0.41811835765838623,,,
1,174,,,,,,0.5140022039413452,,,
1,179,,,,,,0.5944805145263672,,,
1,184,,,,,,0.36401134729385376,,,
1,189,,,,,,0.39116597175598145,,,
1,191,,,,,,,0.0278173815459013,0.06026436761021614,0.06026436761021614
1,191,0.1539953500032425,0.2270025610923767,0.4011172652244568,0.011264792643487453,0.008854609914124012,,,,
2,194,,,,,,0.3099497854709625,,,
2,199,,,,,,0.23090195655822754,,,
2,204,,,,,,0.24784165620803833,,,
2,209,,,,,,0.653152346611023,,,
2,214,,,,,,0.43460267782211304,,,
2,219,,,,,,0.3806455433368683,,,
2,224,,,,,,0.3264615833759308,,,
2,229,,,,,,0.28507912158966064,,,
2,234,,,,,,0.28888750076293945,,,
2,239,,,,,,0.25301939249038696,,,
2,244,,,,,,0.2863994836807251,,,
2,249,,,,,,0.42027267813682556,,,
2,254,,,,,,0.16946615278720856,,,
2,259,,,,,,0.24651433527469635,,,
2,264,,,,,,0.3860532343387604,,,
2,269,,,,,,0.4313920736312866,,,
2,274,,,,,,0.23097041249275208,,,
2,279,,,,,,0.3484618067741394,,,
2,284,,,,,,0.24427151679992676,,,
2,287,,,,,,,0.055392585694789886,0.10369051247835159,0.10369051247835159
2,287,0.1208815649151802,0.191616490483284,0.3232547640800476,0.004988239146769047,0.005768384784460068,,,,
3,289,,,,,,0.3381921648979187,,,
3,294,,,,,,0.28616273403167725,,,
3,299,,,,,,0.3374160826206207,,,
3,304,,,,,,0.16454140841960907,,,
3,309,,,,,,0.18022166192531586,,,
3,314,,,,,,0.16869640350341797,,,
3,319,,,,,,0.29010704159736633,,,
3,324,,,,,,0.3451404273509979,,,
3,329,,,,,,0.1440705806016922,,,
3,334,,,,,,0.28350940346717834,,,
3,339,,,,,,0.14864520728588104,,,
3,344,,,,,,0.21193550527095795,,,
3,349,,,,,,0.28238752484321594,,,
3,354,,,,,,0.5319030284881592,,,
3,359,,,,,,0.39380744099617004,,,
3,364,,,,,,0.212936133146286,,,
3,369,,,,,,0.2016529142856598,,,
3,374,,,,,,0.32374030351638794,,,
3,379,,,,,,0.23329773545265198,,,
3,383,,,,,,,0.09711355715990067,0.15942326188087463,0.15942326188087463
3,383,0.10656273365020752,0.17617596685886383,0.2888856530189514,0.002368547720834613,0.003778459271416068,,,,
4,384,,,,,,0.24090014398097992,,,
4,389,,,,,,0.1866794377565384,,,
4,394,,,,,,0.31847503781318665,,,
4,399,,,,,,0.22478488087654114,,,
4,404,,,,,,0.11293282359838486,,,
4,409,,,,,,0.04477984830737114,,,
4,414,,,,,,0.26909372210502625,,,
4,419,,,,,,0.2753939628601074,,,
4,424,,,,,,0.47701597213745117,,,
4,429,,,,,,0.1698392629623413,,,
4,434,,,,,,0.1978623867034912,,,
4,439,,,,,,0.23048706352710724,,,
4,444,,,,,,0.33111149072647095,,,
4,449,,,,,,0.20324109494686127,,,
4,454,,,,,,0.24230371415615082,,,
4,459,,,,,,0.31587591767311096,,,
4,464,,,,,,0.30934804677963257,,,
4,469,,,,,,0.3009454011917114,,,
4,474,,,,,,0.2644241154193878,,,
4,479,,,,,,0.3140123784542084,,,
4,479,,,,,,,0.12656450271606445,0.20615646243095398,0.20615646243095398
4,479,0.09784423559904099,0.16631276905536652,0.27008169889450073,0.0024399207904934883,0.0034847345668822527,,,,
5,484,,,,,,0.2245502918958664,,,
5,489,,,,,,0.28424033522605896,,,
5,494,,,,,,0.2155870646238327,,,
5,499,,,,,,0.23995909094810486,,,
5,504,,,,,,0.24504578113555908,,,
5,509,,,,,,0.23752155900001526,,,
5,514,,,,,,0.25756868720054626,,,
5,519,,,,,,0.10319838672876358,,,
5,524,,,,,,0.18156205117702484,,,
5,529,,,,,,0.2768903076648712,,,
5,534,,,,,,0.2694111466407776,,,
5,539,,,,,,0.36874625086784363,,,
5,544,,,,,,0.250836580991745,,,
5,549,,,,,,0.2518479824066162,,,
5,554,,,,,,0.2863309979438782,,,
5,559,,,,,,0.18117433786392212,,,
5,564,,,,,,0.21916988492012024,,,
5,569,,,,,,0.2542325258255005,,,
5,574,,,,,,0.12719766795635223,,,
5,575,,,,,,,0.12618501484394073,0.1991405338048935,0.1991405338048935
5,575,0.09450680762529373,0.16167309880256653,0.2620062828063965,0.0024804400745779276,0.003345960984006524,,,,
6,579,,,,,,0.2912081778049469,,,
6,584,,,,,,0.18071821331977844,,,
6,589,,,,,,0.3055400848388672,,,
6,594,,,,,,0.2830348014831543,,,
6,599,,,,,,0.14195071160793304,,,
6,604,,,,,,0.5356978178024292,,,
6,609,,,,,,0.21226921677589417,,,
6,614,,,,,,0.24905596673488617,,,
6,619,,,,,,0.25061774253845215,,,
6,624,,,,,,0.22647514939308167,,,
6,629,,,,,,0.2333550602197647,,,
6,634,,,,,,0.21879637241363525,,,
6,639,,,,,,0.2624009847640991,,,
6,644,,,,,,0.2223445028066635,,,
6,649,,,,,,0.14629331231117249,,,
6,654,,,,,,0.2502642571926117,,,
6,659,,,,,,0.32074251770973206,,,
6,664,,,,,,0.25297674536705017,,,
6,669,,,,,,0.2789266109466553,,,
6,671,,,,,,,0.1288665533065796,0.19919262826442719,0.19919262826442719
6,671,0.09039634466171265,0.15524296462535858,0.2506735622882843,0.0018492253730073571,0.003185088047757745,,,,
7,674,,,,,,0.29655230045318604,,,
7,679,,,,,,0.13775116205215454,,,
7,684,,,,,,0.2778749167919159,,,
7,689,,,,,,0.31944072246551514,,,
7,694,,,,,,0.2699146568775177,,,
7,699,,,,,,0.23446649312973022,,,
7,704,,,,,,0.428840696811676,,,
7,709,,,,,,0.18165424466133118,,,
